"DRS_id","DRS","Município","Janeiro Notificados","Janeiro Confirmados","Fevereiro Notificados","Fevereiro Confirmados","Março Notificados","Março Confirmados","Abril Notificados","Abril Confirmados","Maio Notificados","Maio Confirmados","Junho Notificados","Junho Confirmados","Julho Notificados","Julho Confirmados","Agosto Notificados","Agosto Confirmados","Setembro Notificados","Setembro Confirmados","Outubro Notificados","Outubro Confirmados","Novembro Notificados","Novembro Confirmados","Dezembro Notificados","Dezembro Confirmados","Total Notificados","Total Confirmados"
"13","Riberão Preto","350590 Batatais","26.00","12.00","109.00","52.00","311.00","112.00","843.00","287.00","961.00","234.00","327.00","52.00","156.00","16.00","132.00","2.00","113.00","2.00","39.00","1.00","75.00","1.00","16.00","2.00","3,108.00","773.00"
"6","Bauru","350600 Bauru","367.00","153.00","1,155.00","571.00","6,934.00","4,288.00","7,339.00","5,295.00","4,266.00","3,027.00","835.00","561.00","254.00","157.00","207.00","124.00","172.00","68.00","235.00","19.00","345.00","24.00","355.00","62.00","22,464.00","14,349.00"
"5","Barretos","350610 Bebedouro","8.00","1.00","55.00","5.00","227.00","42.00","377.00","113.00","284.00","98.00","102.00","24.00","49.00","11.00","38.00","4.00","26.00","3.00","37.00","7.00","31.00","5.00","70.00","26.00","1,304.00","339.00"
"2","Araçatuba","350620 Bento de Abreu","0.00","0.00","1.00","1.00","9.00","4.00","18.00","14.00","10.00","7.00","5.00","5.00","0.00","0.00","2.00","2.00","3.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","49.00","34.00"
"9","Marília","350630 Bernardino de Campos","8.00","0.00","7.00","0.00","37.00","7.00","72.00","15.00","83.00","15.00","25.00","1.00","4.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","237.00","38.00"
"4","Baixada Santista","350635 Bertioga","141.00","6.00","320.00","53.00","566.00","140.00","814.00","295.00","780.00","282.00","471.00","142.00","259.00","62.00","178.00","35.00","202.00","34.00","271.00","51.00","322.00","88.00","488.00","179.00","4,812.00","1,367.00"
"2","Araçatuba","350640 Bilac","19.00","1.00","31.00","1.00","13.00","1.00","8.00","3.00","2.00","0.00","3.00","1.00","2.00","0.00","0.00","0.00","2.00","1.00","0.00","0.00","1.00","0.00","1.00","1.00","82.00","9.00"
"2","Araçatuba","350650 Birigui","173.00","43.00","396.00","89.00","851.00","382.00","831.00","425.00","464.00","231.00","166.00","85.00","113.00","59.00","202.00","76.00","197.00","99.00","182.00","93.00","184.00","82.00","133.00","62.00","3,892.00","1,726.00"
"1","São Paulo","350660 Biritiba-Mirim","20.00","0.00","22.00","1.00","39.00","0.00","25.00","3.00","31.00","2.00","19.00","1.00","5.00","0.00","4.00","0.00","12.00","0.00","12.00","0.00","10.00","0.00","6.00","0.00","205.00","7.00"
"3","Araraquara","350670 Boa Esperança do Sul","232.00","135.00","696.00","429.00","1,184.00","670.00","577.00","335.00","279.00","131.00","87.00","28.00","10.00","1.00","18.00","2.00","23.00","6.00","15.00","0.00","14.00","1.00","22.00","2.00","3,157.00","1,740.00"
"6","Bauru","350680 Bocaina","1.00","0.00","2.00","0.00","11.00","6.00","10.00","3.00","4.00","2.00","0.00","0.00","1.00","0.00","1.00","0.00","2.00","0.00","2.00","0.00","1.00","1.00","2.00","0.00","37.00","12.00"
"6","Bauru","350690 Bofete","0.00","0.00","5.00","0.00","26.00","1.00","57.00","1.00","52.00","1.00","7.00","0.00","4.00","0.00","3.00","0.00","7.00","0.00","5.00","0.00","5.00","0.00","9.00","0.00","180.00","3.00"
"16","Sorocaba","350700 Boituva","26.00","2.00","49.00","6.00","132.00","24.00","163.00","54.00","135.00","34.00","42.00","7.00","10.00","3.00","9.00","1.00","23.00","0.00","32.00","5.00","32.00","0.00","29.00","6.00","682.00","142.00"
"7","Campinas","350710 Bom Jesus dos Perdões","8.00","1.00","1.00","0.00","4.00","1.00","12.00","1.00","9.00","1.00","2.00","0.00","1.00","0.00","3.00","0.00","5.00","0.00","7.00","0.00","7.00","1.00","3.00","0.00","62.00","5.00"
"16","Sorocaba","350715 Bom Sucesso de Itararé","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.00","0.00"
"9","Marília","350720 Borá","1.00","0.00","2.00","0.00","3.00","0.00","16.00","10.00","27.00","11.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","51.00","21.00"
"6","Bauru","350730 Boracéia","2.00","0.00","3.00","3.00","13.00","9.00","12.00","12.00","28.00","26.00","7.00","6.00","6.00","6.00","2.00","1.00","0.00","0.00","1.00","1.00","17.00","12.00","75.00","69.00","166.00","145.00"
"3","Araraquara","350740 Borborema","26.00","13.00","108.00","76.00","395.00","276.00","382.00","255.00","164.00","84.00","22.00","4.00","5.00","4.00","7.00","3.00","0.00","0.00","6.00","3.00","5.00","5.00","20.00","20.00","1,140.00","743.00"
"6","Bauru","350745 Borebi","3.00","0.00","8.00","1.00","23.00","13.00","44.00","13.00","44.00","13.00","10.00","2.00","1.00","0.00","3.00","0.00","2.00","0.00","2.00","1.00","7.00","2.00","5.00","0.00","152.00","45.00"
