Distribuição dos casos  autóctones de dengue segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2024;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;Total
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350080 Alfredo Marcondes;0;0;0;0;0;0;0;0;0;1;0;1;0;2
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;350090 Altair;0;0;0;0;4;2;5;1;1;1;1;1;0;16
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350100 Altinópolis;1;0;0;1;3;0;3;10;8;9;13;16;27;91
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350110 Alto Alegre;0;0;0;0;0;0;1;0;0;0;0;1;0;2
16;SOROCABA;31;SOROCABA;35163;SOROCABA;350115 Alumínio;1;0;2;3;3;0;7;8;18;14;12;5;8;81
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;350120 Álvares Florence;2;0;0;0;1;3;1;0;3;0;5;1;4;20
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350130 Álvares Machado;0;0;0;0;1;2;0;2;5;1;0;0;0;11
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;350140 Álvaro de Carvalho;0;0;0;1;2;2;0;1;3;0;0;0;0;9
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;350150 Alvinlândia;1;0;0;0;1;1;1;0;0;3;0;1;2;10
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;350160 Americana;5;4;8;11;19;37;47;68;87;73;98;120;136;713
3;ARARAQUARA;12;ARARAQUARA;35031;CENTRAL DO DRS III;350170 Américo Brasiliense;0;2;4;0;3;6;14;9;2;3;1;21;7;72
