DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Confirmados,Agosto Notificados,Setembro Confirmados,Setembro Notificados,Outubro Confirmados,Outubro Notificados,Novembro Confirmados,Novembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados
9,Marília,352080 Inúbia Paulista,1,1,1,1,34,24,106,75,79,59,32,24,40,28,6,5,3,15,8,19,13,44,36,388,278
9,Marília,352090 Ipauçu,0,0,1,0,7,0,26,5,36,9,44,3,12,0,0,4,0,0,0,3,0,1,1,140,18
16,Sorocaba,352100 Iperó,26,0,6,0,10,1,46,6,75,3,31,2,17,0,0,1,0,7,1,35,0,13,0,277,13
10,Piracicaba,352110 Ipeúna,8,2,4,0,17,5,22,10,40,15,15,4,14,6,1,10,2,16,1,7,0,9,0,166,46
15,São José do Rio Preto,352115 Ipiguá,20,1,7,3,22,11,42,8,48,11,22,3,7,0,2,10,0,15,0,6,0,9,3,224,42
12,Registro,352120 Iporanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Franca,352130 Ipuã,5,3,4,0,46,21,39,18,12,7,11,9,5,3,0,1,1,6,6,15,11,4,2,149,81
10,Piracicaba,352140 Iracemápolis,24,5,11,0,20,5,77,33,123,30,83,8,38,0,1,6,0,7,0,5,0,6,0,413,82
15,São José do Rio Preto,352150 Irapuã,1,0,1,0,7,1,18,4,22,3,5,0,13,0,0,1,0,14,0,5,0,3,0,96,8
11,Presidente Prudente,352160 Irapuru,1,1,0,0,2,2,83,31,63,27,31,19,32,20,19,7,2,8,6,17,7,30,16,302,150
16,Sorocaba,352170 Itaberá,1,0,0,0,9,1,15,2,31,3,8,1,2,0,0,0,0,0,0,0,0,0,0,67,7
6,Bauru,352180 Itaí,1,0,1,0,6,0,8,1,16,0,3,0,4,0,0,5,1,3,1,0,0,3,0,58,3
15,São José do Rio Preto,352190 Itajobi,38,22,104,89,583,502,686,438,164,140,36,20,10,1,0,2,0,7,0,4,0,16,1,"1,656","1,213"
6,Bauru,352200 Itaju,0,0,0,0,1,0,2,0,13,9,2,1,9,6,1,1,0,2,0,0,0,3,0,37,17
4,Baixada Santista,352210 Itanhaém,92,4,43,1,62,12,104,25,158,28,131,17,67,4,0,32,3,84,2,85,2,32,0,925,98
16,Sorocaba,352215 Itaóca,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0
1,São Paulo,352220 Itapecerica da Serra,3,1,3,2,7,1,19,4,28,1,13,0,10,0,0,5,0,11,0,4,1,11,0,123,10
16,Sorocaba,352230 Itapetininga,93,2,59,1,99,7,181,19,224,23,132,6,115,3,2,51,0,57,1,51,1,65,1,"1,171",66
16,Sorocaba,352240 Itapeva,6,0,16,1,62,37,436,251,597,278,120,17,53,8,0,16,0,25,2,31,0,29,1,"1,417",595
1,São Paulo,352250 Itapevi,2,0,4,0,12,2,36,10,64,25,21,3,14,4,0,3,1,3,0,2,0,10,0,176,45
14,São João da Boa Vista,352260 Itapira,12,1,9,2,12,4,83,41,165,51,85,13,41,0,1,27,0,29,1,22,0,27,2,537,116
16,Sorocaba,352265 Itapirapuã Paulista,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1
3,Araraquara,352270 Itápolis,4,1,2,0,18,6,97,38,185,76,84,37,48,19,13,33,10,30,7,63,29,96,55,702,291
6,Bauru,352280 Itaporanga,1,0,11,10,132,122,236,215,108,106,11,10,2,2,0,0,0,0,0,0,0,0,0,504,465
6,Bauru,352290 Itapuí,4,0,0,0,20,3,154,51,236,56,95,18,29,7,3,17,0,15,1,27,1,15,0,630,140
2,Araçatuba,352300 Itapura,7,6,0,0,0,0,12,6,9,5,11,6,4,1,1,1,1,4,0,0,0,1,1,59,27
1,São Paulo,352310 Itaquaquecetuba,16,0,22,4,72,49,236,155,248,120,70,12,19,2,1,6,0,22,5,20,1,15,3,754,352
16,Sorocaba,352320 Itararé,15,1,10,1,16,5,44,17,136,34,54,4,10,1,0,15,0,43,0,20,2,13,0,386,65
12,Registro,352330 Itariri,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,4,1
7,Campinas,352340 Itatiba,6,0,13,2,53,29,157,102,174,78,48,9,18,1,1,15,0,17,0,15,0,10,0,536,222
6,Bauru,352350 Itatinga,1,0,0,0,1,0,8,0,5,1,4,1,2,0,0,2,0,4,0,1,0,0,0,28,2
10,Piracicaba,352360 Itirapina,1,0,3,0,31,6,85,32,79,27,14,4,20,1,0,0,0,1,0,5,2,0,0,243,72
8,Franca,352370 Itirapuã,0,0,13,11,151,83,65,60,45,26,2,1,0,0,1,1,1,1,1,0,0,0,0,279,184
14,São João da Boa Vista,352380 Itobi,3,0,0,0,1,0,3,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
16,Sorocaba,352390 Itu,99,2,54,2,148,52,400,160,762,204,372,48,109,16,2,37,1,32,1,36,2,65,7,"2,178",497
7,Campinas,352400 Itupeva,10,0,16,7,40,23,117,81,85,35,49,11,18,0,0,8,0,4,2,8,0,13,1,378,160
8,Franca,352410 Ituverava,10,1,4,1,50,45,141,138,233,226,86,62,30,18,7,8,5,10,3,9,0,14,6,621,512
5,Barretos,352420 Jaborandi,8,1,7,0,10,0,26,6,45,17,32,16,20,10,15,9,6,11,3,3,0,3,2,198,76
13,Riberão Preto,352430 Jaboticabal,9,3,16,8,86,53,212,156,235,158,81,40,90,26,5,21,2,38,6,16,1,13,2,860,460
17,Taubaté,352440 Jacareí,88,1,51,1,149,50,559,261,678,256,355,51,187,20,8,178,6,244,6,153,4,104,5,"2,880",669
15,São José do Rio Preto,352450 Jaci,28,8,21,12,64,42,185,105,107,51,42,14,33,14,12,16,3,12,2,20,6,25,9,579,278
12,Registro,352460 Jacupiranga,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
7,Campinas,352470 Jaguariúna,32,3,10,6,52,34,223,167,169,159,55,43,39,18,13,36,7,41,6,29,3,29,8,756,467
15,São José do Rio Preto,352480 Jales,386,264,711,596,"1,157","1,016",635,555,244,197,45,23,26,7,6,21,4,30,2,17,0,22,2,"3,325","2,672"
17,Taubaté,352490 Jambeiro,0,0,1,0,1,0,4,0,2,0,3,0,1,0,0,2,0,0,0,0,0,0,0,14,0
1,São Paulo,352500 Jandira,1,0,4,0,9,2,7,0,8,0,6,1,9,2,1,4,0,4,0,1,0,8,0,66,6
13,Riberão Preto,352510 Jardinópolis,7,1,12,1,20,5,40,8,51,17,12,2,11,0,1,6,2,8,1,9,0,5,0,186,38
7,Campinas,352520 Jarinu,4,0,4,0,10,6,58,31,98,41,36,11,12,3,1,4,1,2,0,6,3,2,1,239,98
6,Bauru,352530 Jaú,27,2,24,3,108,73,558,276,796,279,318,43,151,21,6,58,3,59,3,73,2,62,2,"2,318",713
8,Franca,352540 Jeriquara,1,0,2,1,7,3,30,17,30,17,7,1,4,0,0,1,1,1,0,0,0,1,0,84,40
7,Campinas,352550 Joanópolis,0,0,0,0,0,0,5,3,0,0,2,0,3,2,2,0,0,1,1,1,0,1,0,15,8
11,Presidente Prudente,352560 João Ramalho,4,0,0,0,13,4,61,30,127,47,41,10,12,0,1,1,0,0,0,2,0,0,0,268,92
15,São José do Rio Preto,352570 José Bonifácio,57,35,114,93,"1,057","1,006","1,228","1,217",364,354,29,23,23,19,7,13,1,17,2,14,2,16,4,"2,942","2,763"
9,Marília,352580 Júlio Mesquita,2,2,1,0,0,0,41,22,73,42,31,6,4,2,0,0,0,0,0,3,2,5,3,161,79
16,Sorocaba,352585 Jumirim,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0
7,Campinas,352590 Jundiaí,126,4,96,8,312,48,875,199,920,152,476,23,239,4,3,133,2,183,8,115,3,130,3,"3,770",457
11,Presidente Prudente,352600 Junqueirópolis,32,10,96,69,478,415,800,685,218,211,35,33,25,6,1,4,0,7,0,18,3,14,6,"1,734","1,439"
12,Registro,352610 Juquiá,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,6,0
1,São Paulo,352620 Juquitiba,1,0,0,0,34,32,105,101,44,38,14,12,0,0,0,0,0,0,0,1,1,0,0,200,184
