DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Notificados,Agosto Confirmados,Setembro Notificados,Setembro Confirmados,Outubro Notificados,Outubro Confirmados,Novembro Notificados,Novembro Confirmados,Dezembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
6.0,Bauru,7.00,2,9,4,45,27,83,62,99,59,14,10,7,7,2,0,0,0,1,0,3,0,0,0,270,171,350880,Cafelândia
11.0,Presidente Prudente,31.00,11,64,45,33,21,6,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,139,78,350890,Caiabu
1.0,São Paulo,16.00,0,20,3,34,7,37,9,47,10,11,2,7,2,6,1,11,0,11,1,12,0,17,6,229,41,350900,Caieiras
11.0,Presidente Prudente,5.00,1,14,4,68,25,104,53,65,31,17,3,0,0,3,1,2,0,0,0,3,1,2,0,283,119,350910,Caiuá
1.0,São Paulo,25.00,2,29,1,63,6,97,10,85,9,53,6,29,0,28,0,28,1,35,2,20,0,37,2,529,39,350920,Cajamar
12.0,Registro,1.00,0,2,1,0,0,0,0,3,3,5,1,7,2,7,0,0,0,0,0,1,1,0,0,26,8,350925,Cajati
5.0,Barretos,63.00,41,299,178,261,122,75,64,28,23,3,1,0,0,1,1,3,1,0,0,2,1,2,0,737,432,350930,Cajobi
13.0,Riberão Preto,2.00,0,6,0,6,1,6,0,4,2,1,1,0,0,2,0,3,0,4,0,0,0,2,0,36,4,350940,Cajuru
16.0,Sorocaba,0.00,0,0,0,4,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,11,0,350945,Campina do Monte Alegre
7.0,Campinas,850.00,162,1752,618,3690,2630,3496,2867,2946,2433,1234,805,754,169,825,126,810,140,845,223,766,515,852,577,18820,11265,350950,Campinas
7.0,Campinas,14.00,1,35,9,71,12,78,24,72,21,42,7,26,9,20,4,17,7,17,4,1,0,9,7,402,105,350960,Campo Limpo Paulista
17.0,Taubaté,1.00,0,2,0,3,0,3,0,10,0,3,0,1,0,1,0,2,0,3,0,2,0,2,0,33,0,350970,Campos do Jordão
9.0,Marília,5.00,0,27,14,157,95,184,140,66,55,12,5,1,0,3,0,4,0,0,0,2,0,0,0,461,309,350980,Campos Novos Paulista
12.0,Registro,1.00,0,0,0,3,1,15,4,14,2,4,1,5,1,2,0,1,0,7,0,1,0,3,0,56,9,350990,Cananéia
17.0,Taubaté,0.00,0,0,0,2,0,4,0,2,0,1,0,1,0,1,0,0,0,2,0,0,0,1,0,14,0,350995,Canas
9.0,Marília,34.00,2,88,21,268,149,606,409,696,455,170,72,47,5,20,2,18,2,18,1,19,0,28,1,2012,1119,351000,Cândido Mota
3.0,Araraquara,7.00,6,24,19,110,106,50,45,16,16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,210,192,351010,Cândido Rodrigues
9.0,Marília,22.00,3,43,15,318,94,393,151,140,47,14,2,5,0,0,0,0,0,0,0,1,0,1,1,937,313,351015,Canitar
16.0,Sorocaba,8.00,0,15,2,175,104,372,233,296,194,46,17,11,1,9,0,9,1,7,1,4,0,2,0,954,553,351020,Capão Bonito
16.0,Sorocaba,39.00,0,37,1,122,9,208,69,178,45,66,8,19,1,18,0,19,0,33,0,21,0,19,0,779,133,351030,Capela do Alto
10.0,Piracicaba,7.00,0,17,1,44,6,52,16,111,38,34,8,20,1,18,0,25,0,26,1,17,5,17,8,388,84,351040,Capivari
17.0,Taubaté,261.00,9,209,5,719,56,1092,168,1388,194,527,39,277,16,368,15,473,11,656,9,515,23,455,37,6940,582,351050,Caraguatatuba
1.0,São Paulo,19.00,4,42,8,79,16,92,28,71,15,34,10,16,1,19,1,23,1,17,3,24,2,16,3,452,92,351060,Carapicuíba
15.0,São José do Rio Preto,12.00,3,5,3,9,5,17,4,11,5,4,1,4,1,2,0,3,0,6,2,10,2,6,2,89,28,351070,Cardoso
14.0,São João da Boa Vista,2.00,0,7,2,22,6,39,10,116,54,39,16,14,3,11,3,6,0,5,2,8,1,3,1,272,98,351080,Casa Branca
13.0,Riberão Preto,7.00,3,0,0,1,1,3,2,3,1,1,1,2,0,0,0,1,0,0,0,1,0,0,0,19,8,351090,Cássia dos Coqueiros
