DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
15.0,SÃO JOSÉ DO RIO PRETO,54.00,9,84,7,118,12,256,28,351130,Cedral
6.0,BAURU,6.00,0,42,10,65,27,113,37,351140,Cerqueira César
16.0,SOROCABA,30.00,1,150,21,197,71,377,93,351150,Cerquilho
16.0,SOROCABA,13.00,2,115,7,212,66,340,75,351160,Cesário Lange
10.0,PIRACICABA,64.00,4,196,52,239,65,499,121,351170,Charqueada
2.0,ARAÇATUBA,2.00,1,6,2,8,4,16,7,351190,Clementina
5.0,BARRETOS,299.00,174,266,136,384,217,949,527,351200,Colina
5.0,BARRETOS,4.00,2,19,6,20,4,43,12,351210,Colômbia
10.0,PIRACICABA,14.00,2,107,4,113,18,234,24,351220,Conchal
6.0,BAURU,20.00,2,126,12,188,33,334,47,351230,Conchas
10.0,PIRACICABA,41.00,6,188,13,89,52,318,71,351240,Cordeirópolis
2.0,ARAÇATUBA,13.00,2,43,5,40,3,96,10,351250,Coroados
6.0,BAURU,6.00,4,58,27,83,50,147,81,351260,Coronel Macedo
10.0,PIRACICABA,1.00,0,9,0,21,7,31,7,351270,Corumbataí
7.0,CAMPINAS,54.00,17,515,99,990,171,1559,287,351280,Cosmópolis
15.0,SÃO JOSÉ DO RIO PRETO,22.00,4,67,10,40,13,129,27,351290,Cosmorama
1.0,GRANDE SÃO PAULO,451.00,187,1947,666,3716,955,6114,1808,351300,Cotia
13.0,RIBEIRÃO PRETO,532.00,303,978,386,807,534,2317,1223,351310,Cravinhos
8.0,FRANCA,61.00,38,72,53,56,49,189,140,351320,Cristais Paulista
9.0,MARÍLIA,10.00,1,18,7,16,9,44,17,351330,Cruzália
17.0,TAUBATÉ,60.00,22,234,92,145,86,439,200,351340,Cruzeiro
4.0,BAIXADA SANTISTA,98.00,9,268,14,380,9,746,32,351350,Cubatão
17.0,TAUBATÉ,31.00,5,170,28,269,72,470,105,351360,Cunha
3.0,ARARAQUARA,20.00,2,140,56,420,317,580,375,351370,Descalvado
1.0,GRANDE SÃO PAULO,234.00,115,1428,593,2501,693,4163,1401,351380,Diadema
15.0,SÃO JOSÉ DO RIO PRETO,4.00,1,14,6,7,3,25,10,351385,Dirce Reis
14.0,SÃO JOÃO DA BOA VISTA,1.00,0,13,1,38,15,52,16,351390,Divinolândia
3.0,ARARAQUARA,8.00,0,37,10,62,14,107,24,351400,Dobrada
6.0,BAURU,795.00,672,1090,994,645,543,2530,2209,351410,Dois Córregos
15.0,SÃO JOSÉ DO RIO PRETO,1.00,0,8,1,14,2,23,3,351420,Dolcinópolis
3.0,ARARAQUARA,8.00,0,71,7,88,18,167,25,351430,Dourado
11.0,PRESIDENTE PRUDENTE,103.00,10,406,40,389,21,898,71,351440,Dracena
6.0,BAURU,6.00,1,39,4,39,12,84,17,351450,Duartina
13.0,RIBEIRÃO PRETO,123.00,77,254,176,149,72,526,325,351460,Dumont
9.0,MARÍLIA,8.00,3,50,10,73,3,131,16,351470,Echaporã
12.0,REGISTRO,3.00,1,117,38,334,141,454,180,351480,Eldorado
10.0,PIRACICABA,26.00,4,108,39,163,50,297,93,351490,Elias Fausto
15.0,SÃO JOSÉ DO RIO PRETO,12.00,5,73,50,127,97,212,152,351492,Elisiário
15.0,SÃO JOSÉ DO RIO PRETO,11.00,7,16,4,28,11,55,22,351495,Embaúba
1.0,GRANDE SÃO PAULO,335.00,68,1095,250,1259,405,2689,723,351500,Embu das Artes
1.0,GRANDE SÃO PAULO,29.00,19,158,89,648,305,835,413,351510,Embu-Guaçu
11.0,PRESIDENTE PRUDENTE,1.00,0,4,1,4,0,9,1,351512,Emilianópolis
10.0,PIRACICABA,43.00,3,137,19,182,37,362,59,351515,Engenheiro Coelho
14.0,SÃO JOÃO DA BOA VISTA,114.00,37,938,261,457,431,1509,729,351518,Espírito Santo do Pinhal
9.0,MARÍLIA,4.00,1,20,0,39,6,63,7,351519,Espírito Santo do Turvo
15.0,SÃO JOSÉ DO RIO PRETO,23.00,0,34,2,61,6,118,8,351520,Estrela d'Oeste
11.0,PRESIDENTE PRUDENTE,14.00,1,34,6,29,3,77,10,351530,Estrela do Norte
11.0,PRESIDENTE PRUDENTE,2.00,0,11,1,9,2,22,3,351535,Euclides da Cunha Paulista
6.0,BAURU,3.00,1,75,28,146,105,224,134,351540,Fartura
15.0,SÃO JOSÉ DO RIO PRETO,76.00,24,259,61,307,104,642,189,351550,Fernandópolis
15.0,SÃO JOSÉ DO RIO PRETO,9.00,1,42,5,25,3,76,9,351560,Fernando Prestes
9.0,MARÍLIA,3.00,0,12,1,19,10,34,11,351565,Fernão
1.0,GRANDE SÃO PAULO,260.00,95,1281,370,2250,547,3791,1012,351570,Ferraz de Vasconcelos
11.0,PRESIDENTE PRUDENTE,0.00,0,0,0,0,0,0,0,351580,Flora Rica
15.0,SÃO JOSÉ DO RIO PRETO,3.00,0,9,0,14,1,26,1,351590,Floreal
9.0,MARÍLIA,4.00,1,33,13,17,9,54,23,351600,Flórida Paulista
9.0,MARÍLIA,14.00,1,48,11,103,22,165,34,351610,Florínea
8.0,FRANCA,"1,457.00",668,2380,1269,743,406,4580,2343,351620,Franca
1.0,GRANDE SÃO PAULO,177.00,128,636,336,695,436,1508,900,351630,Francisco Morato
1.0,GRANDE SÃO PAULO,"1,204.00",833,2441,1667,2462,1654,6107,4154,351640,Franco da Rocha
2.0,ARAÇATUBA,3.00,0,5,0,3,0,11,0,351650,Gabriel Monteiro
9.0,MARÍLIA,1.00,0,7,1,26,6,34,7,351660,Gália
9.0,MARÍLIA,105.00,30,315,97,565,135,985,262,351670,Garça
15.0,SÃO JOSÉ DO RIO PRETO,3.00,1,13,3,35,1,51,5,351680,Gastão Vidigal
3.0,ARARAQUARA,9.00,2,48,3,76,31,133,36,351685,Gavião Peixoto
15.0,SÃO JOSÉ DO RIO PRETO,16.00,0,27,1,20,2,63,3,351690,General Salgado
6.0,BAURU,237.00,91,107,9,62,3,406,103,351700,Getulina
2.0,ARAÇATUBA,10.00,0,11,2,23,2,44,4,351710,Glicério
6.0,BAURU,27.00,5,62,9,45,7,134,21,351720,Guaiçara
9.0,MARÍLIA,19.00,7,20,7,22,5,61,19,351730,Guaimbê
5.0,BARRETOS,196.00,68,473,112,420,114,1089,294,351740,Guaíra
15.0,SÃO JOSÉ DO RIO PRETO,93.00,21,198,29,215,22,506,72,351750,Guapiaçu
16.0,SOROCABA,5.00,0,24,1,46,10,75,11,351760,Guapiara
8.0,FRANCA,23.00,10,274,64,71,14,368,88,351770,Guará
2.0,ARAÇATUBA,3.00,0,7,2,33,4,43,6,351780,Guaraçaí
5.0,BARRETOS,21.00,4,79,28,90,48,190,80,351790,Guaraci
15.0,SÃO JOSÉ DO RIO PRETO,1.00,0,5,2,16,5,22,7,351800,Guarani d'Oeste
9.0,MARÍLIA,8.00,1,27,6,14,1,49,8,351810,Guarantã
2.0,ARAÇATUBA,121.00,45,397,161,638,386,1156,592,351820,Guararapes
1.0,GRANDE SÃO PAULO,304.00,66,747,133,1112,126,2163,325,351830,Guararema
17.0,TAUBATÉ,841.00,464,2749,1227,1676,1089,5266,2780,351840,Guaratinguetá
16.0,SOROCABA,8.00,6,41,19,110,78,159,103,351850,Guareí
13.0,RIBEIRÃO PRETO,35.00,8,143,52,193,121,371,181,351860,Guariba
4.0,BAIXADA SANTISTA,341.00,187,2525,1500,1815,1159,4681,2846,351870,Guarujá
1.0,GRANDE SÃO PAULO,"2,488.00",1766,9768,7898,21196,16356,33452,26020,351880,Guarulhos
13.0,RIBEIRÃO PRETO,6.00,1,49,6,53,9,108,16,351885,Guatapará
2.0,ARAÇATUBA,4.00,0,3,0,3,1,10,1,351890,Guzolândia
9.0,MARÍLIA,18.00,6,71,16,35,20,124,42,351900,Herculândia
7.0,CAMPINAS,69.00,17,209,77,379,278,657,372,351905,Holambra
7.0,CAMPINAS,345.00,91,1277,325,1731,286,3353,702,351907,Hortolândia
6.0,BAURU,16.00,8,57,33,101,66,174,107,351910,Iacanga
9.0,MARÍLIA,13.00,9,78,36,28,15,119,60,351920,Iacri
6.0,BAURU,1.00,1,26,6,20,4,47,11,351925,Iaras
3.0,ARARAQUARA,26.00,3,124,29,164,52,314,84,351930,Ibaté
15.0,SÃO JOSÉ DO RIO PRETO,17.00,3,51,11,44,4,112,18,351940,Ibirá
9.0,MARÍLIA,10.00,0,56,13,138,67,204,80,351950,Ibirarema
3.0,ARARAQUARA,46.00,4,196,27,291,66,533,97,351960,Ibitinga
16.0,SOROCABA,23.00,0,167,21,551,50,741,71,351970,Ibiúna
