DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19
15.00,SÃO JOSÉ DO RIO PRETO,354030 Pontes Gestal,7.00,1.00,19.00,2.00,74.00,10.00,100.00,13.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354040 Populina,7.00,3.00,26.00,16.00,12.00,11.00,45.00,30.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,354050 Porangaba,6.00,0.00,48.00,0.00,133.00,19.00,187.00,19.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,354060 Porto Feliz,140.00,20.00,542.00,55.00,"1,127.00",199.00,"1,809.00",274.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,354070 Porto Ferreira,81.00,18.00,467.00,78.00,626.00,228.00,"1,174.00",324.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,354075 Potim,96.00,56.00,388.00,245.00,472.00,160.00,956.00,461.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354080 Potirendaba,17.00,4.00,34.00,7.00,62.00,5.00,113.00,16.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354085 Pracinha,1.00,0.00,7.00,0.00,4.00,0.00,12.00,0.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,354090 Pradópolis,17.00,5.00,34.00,5.00,25.00,9.00,76.00,19.00,,,,,,,,,,,,,,,,,,,
4.00,BAIXADA SANTISTA,354100 Praia Grande,119.00,49.00,385.00,158.00,243.00,75.00,747.00,282.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,354105 Pratânia,8.00,0.00,47.00,3.00,87.00,20.00,142.00,23.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,354110 Presidente Alves,3.00,0.00,22.00,5.00,7.00,0.00,32.00,5.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354120 Presidente Bernardes,10.00,0.00,38.00,4.00,52.00,2.00,100.00,6.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354130 Presidente Epitácio,4.00,0.00,30.00,7.00,35.00,7.00,69.00,14.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354140 Presidente Prudente,944.00,11.00,"2,220.00",26.00,"1,993.00",51.00,"5,157.00",88.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354150 Presidente Venceslau,24.00,3.00,54.00,5.00,46.00,9.00,124.00,17.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,354160 Promissão,24.00,6.00,143.00,10.00,137.00,11.00,304.00,27.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,354165 Quadra,1.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354170 Quatá,6.00,0.00,69.00,6.00,67.00,10.00,142.00,16.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354180 Queiroz,1.00,0.00,50.00,14.00,29.00,2.00,80.00,16.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,354190 Queluz,12.00,1.00,77.00,6.00,150.00,15.00,239.00,22.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354200 Quintana,17.00,2.00,45.00,2.00,35.00,2.00,97.00,6.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,354210 Rafard,34.00,16.00,153.00,93.00,502.00,316.00,689.00,425.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354220 Rancharia,27.00,5.00,45.00,9.00,119.00,34.00,191.00,48.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,354230 Redenção da Serra,5.00,0.00,37.00,10.00,114.00,52.00,156.00,62.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354240 Regente Feijó,34.00,0.00,100.00,5.00,96.00,9.00,230.00,14.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,354250 Reginópolis,53.00,19.00,262.00,127.00,415.00,220.00,730.00,366.00,,,,,,,,,,,,,,,,,,,
12.00,REGISTRO,354260 Registro,202.00,40.00,631.00,217.00,"1,909.00",336.00,"2,742.00",593.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,354270 Restinga,83.00,70.00,143.00,119.00,81.00,73.00,307.00,262.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,354280 Ribeira,0.00,0.00,0.00,0.00,8.00,5.00,8.00,5.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,354290 Ribeirão Bonito,11.00,5.00,124.00,44.00,148.00,82.00,283.00,131.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,354300 Ribeirão Branco,0.00,0.00,7.00,1.00,18.00,0.00,25.00,1.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,354310 Ribeirão Corrente,72.00,13.00,92.00,18.00,77.00,9.00,241.00,40.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354320 Ribeirão do Sul,13.00,3.00,38.00,4.00,4.00,1.00,55.00,8.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354323 Ribeirão dos Ándios,1.00,1.00,2.00,0.00,5.00,1.00,8.00,2.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,354325 Ribeirão Grande,3.00,0.00,32.00,0.00,79.00,5.00,114.00,5.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,354330 Ribeirão Pires,75.00,5.00,323.00,30.00,399.00,97.00,797.00,132.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,354340 Ribeirão Preto,"4,660.00","2,994.00","8,626.00","5,947.00","10,721.00","4,775.00","24,007.00","13,716.00",,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,354350 Riversul,5.00,0.00,47.00,28.00,263.00,99.00,315.00,127.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,354360 Rifaina,18.00,3.00,24.00,1.00,99.00,26.00,141.00,30.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,354370 Rincão,15.00,1.00,101.00,9.00,121.00,24.00,237.00,34.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354380 Rinópolis,18.00,3.00,26.00,4.00,5.00,0.00,49.00,7.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,354390 Rio Claro,262.00,35.00,592.00,232.00,948.00,588.00,"1,802.00",855.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,354400 Rio das Pedras,30.00,7.00,132.00,25.00,274.00,64.00,436.00,96.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,354410 Rio Grande da Serra,25.00,1.00,179.00,16.00,175.00,7.00,379.00,24.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354420 Riolândia,15.00,2.00,61.00,5.00,97.00,18.00,173.00,25.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354425 Rosana,25.00,1.00,66.00,15.00,72.00,7.00,163.00,23.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,354430 Roseira,143.00,52.00,346.00,97.00,348.00,161.00,837.00,310.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,354440 Rubiácea,1.00,1.00,10.00,6.00,4.00,3.00,15.00,10.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354450 Rubinéia,0.00,0.00,15.00,2.00,19.00,3.00,34.00,5.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,354460 Sabino,5.00,2.00,7.00,1.00,16.00,13.00,28.00,16.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354470 Sagres,7.00,5.00,6.00,3.00,17.00,9.00,30.00,17.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354480 Sales,139.00,111.00,103.00,87.00,60.00,57.00,302.00,255.00,,,,,,,,,,,,,,,,,,,
8.00,FRANCA,354490 Sales Oliveira,13.00,0.00,48.00,10.00,36.00,6.00,97.00,16.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,354500 Salesópolis,4.00,0.00,52.00,3.00,172.00,5.00,228.00,8.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354510 Salmourão,4.00,2.00,23.00,6.00,13.00,4.00,40.00,12.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,354515 Saltinho,22.00,6.00,127.00,23.00,494.00,226.00,643.00,255.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,354520 Salto,241.00,49.00,901.00,185.00,"1,651.00",571.00,"2,793.00",805.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,354530 Salto de Pirapora,45.00,2.00,433.00,31.00,631.00,180.00,"1,109.00",213.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354540 Salto Grande,9.00,2.00,30.00,2.00,23.00,1.00,62.00,5.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354550 Sandovalina,5.00,0.00,7.00,0.00,14.00,5.00,26.00,5.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354560 Santa Adélia,34.00,13.00,95.00,34.00,126.00,30.00,255.00,77.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354570 Santa Albertina,3.00,1.00,7.00,1.00,8.00,1.00,18.00,3.00,,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,354580 Santa Bárbara d'Oeste,313.00,121.00,"1,024.00",445.00,"1,835.00",684.00,"3,172.00","1,250.00",,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,354600 Santa Branca,58.00,25.00,638.00,219.00,"1,392.00",275.00,"2,088.00",519.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354610 Santa Clara d'Oeste,3.00,0.00,12.00,0.00,4.00,0.00,19.00,0.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,354620 Santa Cruz da Conceição,6.00,1.00,16.00,2.00,40.00,17.00,62.00,20.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,354625 Santa Cruz da Esperança,16.00,0.00,56.00,0.00,123.00,48.00,195.00,48.00,,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,354630 Santa Cruz das Palmeiras,317.00,241.00,782.00,574.00,455.00,343.00,"1,554.00","1,158.00",,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,354640 Santa Cruz do Rio Pardo,81.00,26.00,180.00,76.00,462.00,265.00,723.00,367.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,354650 Santa Ernestina,24.00,3.00,45.00,1.00,15.00,3.00,84.00,7.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354660 Santa Fé do Sul,30.00,10.00,66.00,9.00,69.00,11.00,165.00,30.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,354670 Santa Gertrudes,79.00,14.00,299.00,90.00,250.00,230.00,628.00,334.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,354680 Santa Isabel,173.00,57.00,569.00,208.00,"1,592.00",379.00,"2,334.00",644.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,354690 Santa Lúcia,7.00,0.00,45.00,1.00,19.00,2.00,71.00,3.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,354700 Santa Maria da Serra,9.00,2.00,64.00,4.00,91.00,18.00,164.00,24.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354710 Santa Mercedes,4.00,3.00,3.00,0.00,9.00,2.00,16.00,5.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354720 Santana da Ponte Pensa,1.00,0.00,11.00,1.00,8.00,0.00,20.00,1.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,354730 Santana de Parnaíba,154.00,38.00,"1,081.00",224.00,"1,754.00","1,259.00","2,989.00","1,521.00",,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354740 Santa Rita d'Oeste,0.00,0.00,14.00,1.00,4.00,1.00,18.00,2.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,354750 Santa Rita do Passa Quatro,6.00,3.00,62.00,33.00,107.00,89.00,175.00,125.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,354760 Santa Rosa de Viterbo,29.00,6.00,60.00,16.00,131.00,42.00,220.00,64.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,354765 Santa Salete,8.00,0.00,9.00,0.00,7.00,0.00,24.00,0.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,354770 Santo Anastácio,10.00,1.00,52.00,8.00,90.00,6.00,152.00,15.00,,,,,,,,,,,,,,,,,,,
1.00,GRANDE SÃO PAULO,354780 Santo André,376.00,141.00,"1,104.00",589.00,"2,361.00","1,697.00","3,841.00","2,427.00",,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,354790 Santo Antônio da Alegria,14.00,12.00,34.00,29.00,43.00,39.00,91.00,80.00,,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,354800 Santo Antônio de Posse,53.00,18.00,374.00,178.00,"1,029.00",109.00,"1,456.00",305.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,354805 Santo Antônio do Aracanguá,11.00,1.00,21.00,2.00,31.00,3.00,63.00,6.00,,,,,,,,,,,,,,,,,,,
