DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Confirmados,Agosto Notificados,Setembro Confirmados,Setembro Notificados,Outubro Confirmados,Outubro Notificados,Novembro Confirmados,Novembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
11,Presidente Prudente,24,4,11,2,23,4,91,20,172,65,97,21,76,31,23,50,27,80,41,178,128,355,285,1220,651,350130,Álvares Machado
9,Marília,5,0,4,2,23,8,91,47,80,34,30,12,9,1,1,0,0,0,0,0,0,3,0,250,105,350140,Álvaro de Carvalho
9,Marília,1,0,2,0,4,0,9,2,17,11,2,0,0,0,0,1,0,1,0,1,1,2,0,41,14,350150,Alvinlândia
7,Campinas,113,9,148,76,1240,815,2337,1663,1662,1312,360,252,139,86,35,94,17,94,19,84,6,71,9,6443,4299,350160,Americana
3,Araraquara,19,3,153,111,995,798,1541,1436,880,833,172,127,73,48,16,35,4,37,6,32,3,22,5,3987,3390,350170,Américo Brasiliense
15,São José do Rio Preto,22,8,129,108,203,137,241,107,137,49,18,8,2,0,0,6,0,3,0,7,1,3,0,773,418,350180,Américo de Campos
7,Campinas,2,0,4,0,6,0,37,9,63,8,23,3,7,0,0,11,0,9,0,5,0,9,0,183,20,350190,Amparo
10,Piracicaba,0,0,0,0,2,0,18,8,49,20,23,9,15,0,1,7,0,6,0,6,0,5,1,144,39,350200,Analândia
2,Araçatuba,70,9,94,35,359,165,668,662,843,843,189,187,154,21,8,63,3,56,6,74,11,87,10,2743,1960,350210,Andradina
16,Sorocaba,1,1,3,0,3,1,6,3,5,0,3,0,5,3,0,1,0,2,0,0,0,0,0,29,8,350220,Angatuba
6,Bauru,2,1,0,0,2,1,3,3,5,3,1,0,0,0,0,0,0,2,0,3,0,1,0,19,8,350230,Anhembi
11,Presidente Prudente,0,0,2,2,25,16,150,118,140,84,71,49,18,11,4,6,0,6,1,13,2,3,2,444,289,350240,Anhumas
17,Taubaté,8,0,9,1,6,5,22,9,41,18,12,5,5,1,0,0,0,4,1,8,0,7,1,126,41,350250,Aparecida
