Distribuição dos casos  autóctones de dengue segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;350540 Barra do Turvo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;350550 Barretos;2;1;2;0;4;5;7;12;9;12;23;24;31;33;53;40;33;40;84;132;83;45;34;21;13;11;8;7;4;7;4;6;3;4;5;1;3;6;1;2;1;0;0;0;3;5;1;1;4;2;1;0;833
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35131;HORIZONTE VERDE;350560 Barrinha;1;0;0;0;1;0;4;0;3;3;7;9;22;19;33;16;13;10;17;15;13;5;8;12;2;0;3;0;2;1;0;0;3;0;0;2;3;5;1;4;2;3;2;0;1;0;0;0;0;0;0;0;245
1;São Paulo;X;OSASCO;35014;ROTA DOS BANDEIRANTES;350570 Barueri;0;1;0;2;0;0;0;4;2;4;6;9;9;6;13;11;13;14;11;7;6;4;0;3;2;2;0;1;0;1;0;0;1;0;1;0;2;0;2;0;1;1;1;1;1;0;1;1;0;1;2;0;147
9;Marília;XIX;MARÍLIA;35095;TUPÃ;350580 Bastos;5;5;12;18;43;65;93;108;134;138;119;142;149;163;165;99;74;54;49;28;8;9;2;1;1;2;0;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1691
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350590 Batatais;1;3;2;4;5;8;13;14;27;20;24;23;42;61;51;79;80;48;58;73;40;28;19;15;5;6;6;4;3;2;2;0;1;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;773
6;Bauru;XV;BAURU;35062;BAURU;350600 Bauru;25;24;31;38;76;72;112;221;440;649;1089;1220;1241;1197;1371;1224;1093;1067;879;698;390;284;190;117;91;63;44;40;31;27;30;27;33;25;22;14;20;19;10;4;3;6;4;4;4;3;9;8;12;18;15;15;14349
5;Barretos;XIV;BARRETOS;35052;SUL-BARRETOS;350610 Bebedouro;1;0;0;0;0;2;2;0;6;5;4;14;15;30;23;31;28;20;29;33;11;11;12;5;1;2;4;3;0;2;0;2;1;0;1;0;0;2;1;1;0;4;2;0;1;1;2;3;7;4;8;5;339
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350620 Bento de Abreu;0;0;0;0;0;0;0;1;1;1;1;1;0;2;7;4;1;1;3;1;2;1;3;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
9;Marília;XIII;ASSIS;35094;OURINHOS;350630 Bernardino de Campos;0;0;0;0;0;0;0;0;1;1;0;2;5;5;2;3;2;8;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
4;Baixada Santista;XXV;SANTOS;35041;BAIXADA SANTISTA;350635 Bertioga;1;1;0;3;4;10;11;16;27;16;28;44;42;78;67;54;77;86;72;62;51;51;31;37;26;29;18;9;18;9;5;6;11;8;9;9;6;12;5;9;11;15;9;19;22;15;19;32;37;28;53;49;1367
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350640 Bilac;0;0;0;1;0;1;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350650 Birigui;6;4;14;17;4;25;22;23;55;75;58;128;106;82;125;104;82;76;66;51;34;22;2;11;35;29;17;16;11;14;2;19;24;18;16;12;27;29;28;22;15;24;24;24;23;18;20;6;14;13;21;13;1726
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350660 Biritiba-Mirim;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350670 Boa Esperança do Sul;15;24;26;45;59;110;103;110;161;174;145;140;138;91;102;75;46;42;38;24;27;15;6;6;5;1;1;0;0;0;1;0;0;1;1;2;1;0;2;0;0;0;0;0;1;0;0;0;1;1;0;0;1740
6;Bauru;XV;BAURU;35064;JAU;350680 Bocaina;0;0;0;0;0;0;0;0;0;5;0;1;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350690 Bofete;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350700 Boituva;0;0;2;0;0;0;2;2;5;1;4;6;11;3;16;17;17;6;9;8;9;3;3;1;1;2;1;0;1;0;1;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;1;4;1;0;142
